app_table_id,v_val,i_val,p_val,pf_val
BFS,115.400002,2.66,221,0.72
BFS,115.400002,2.655,221,0.722
BFS,114.900002,2.672,222,0.723
BFS,115.300003,2.668,222,0.722
BFS,116.5,2.647,222,0.72
BFS,115.599998,2.661,220,0.717
BFS,115.800003,2.662,221,0.718
BFS,115.800003,2.648,223,0.729
BFS,115.599998,2.651,223,0.728
BFS,115.800003,2.668,222,0.719
BFS,116.199997,2.658,222,0.719
BFS,116.199997,2.66,222,0.719
BFS,115.300003,2.659,222,0.725
BFS,115.699997,2.683,222,0.716
BFS,115.900002,2.694,222,0.71
BFS,117.199997,2.702,222,0.701
BFS,117.5,2.699,222,0.702
BFS,116.300003,2.669,222,0.717
BFS,116.099998,2.658,222,0.719
BFS,115.5,2.657,222,0.724
BFS,116.199997,2.682,223,0.715
BFS,116.800003,2.698,222,0.705
BFS,116.599998,2.685,222,0.708
BFS,116.699997,2.682,222,0.71
BFS,116.5,2.657,222,0.719
BFS,116.300003,2.659,222,0.719
BFS,116.300003,2.659,222,0.718
BFS,116.400002,2.66,221,0.714
BFS,116.5,2.659,221,0.713
BFS,115.199997,2.646,222,0.728
BFS,115.400002,2.649,222,0.727
BFS,116.599998,2.648,221,0.717
BFS,117.199997,2.688,221,0.703
BFS,117.5,2.702,222,0.699
BFS,117.099998,2.694,221,0.702
BFS,116.300003,2.648,220,0.716
BFS,117.199997,2.666,221,0.707
BFS,118.199997,2.69,222,0.698
BFS,116.699997,2.675,222,0.71
BFS,115.900002,2.674,221,0.715
BFS,115.800003,2.668,222,0.72
BFS,117,2.644,221,0.714
BFS,117,2.648,221,0.713
BFS,116.099998,2.666,222,0.717
BFS,116.300003,2.684,221,0.71
BFS,116.099998,2.675,221,0.714
BFS,116.199997,2.688,221,0.709
BFS,115.699997,2.68,221,0.714
BFS,115,2.653,222,0.727
BFS,115.300003,2.661,222,0.725
BFS,116.5,2.683,223,0.713
BFS,116.5,2.701,223,0.71
BFS,117,2.706,223,0.706
BFS,117.5,2.704,223,0.702
BFS,116.900002,2.688,223,0.712
BFS,116.099998,2.667,224,0.725
BFS,116.800003,2.66,223,0.719
BFS,116.099998,2.651,222,0.722
BFS,115.800003,2.669,222,0.718
BFS,116.099998,2.683,222,0.714
BFS,116.699997,2.672,224,0.719
BFS,117.900002,2.7,223,0.7
BFS,118.099998,2.7,222,0.696
BFS,117.599998,2.666,221,0.706
BFS,117.099998,2.653,222,0.714
BFS,117.099998,2.664,222,0.713
BFS,116.5,2.669,223,0.717
BFS,116.199997,2.674,224,0.721
BFS,116.800003,2.687,223,0.712
BFS,116.5,2.66,223,0.719
BFS,115.699997,2.652,222,0.724
BFS,115.5,2.636,221,0.728
BFS,115.699997,2.637,222,0.727
BFS,115.699997,2.641,222,0.728
BFS,115.599998,2.636,222,0.729
BFS,115.800003,2.634,221,0.725
BFS,116,2.631,220,0.721
BFS,116.099998,2.633,220,0.721
BFS,116.400002,2.65,223,0.722
BFS,117.599998,2.665,222,0.71
BFS,117.599998,2.672,222,0.708
BFS,117.400002,2.69,222,0.702
BFS,117.400002,2.69,220,0.698
BFS,117.800003,2.68,220,0.699
BFS,117.800003,2.682,221,0.701
BFS,117.099998,2.691,221,0.703
BFS,116.5,2.675,221,0.71
BFS,116.400002,2.667,221,0.712
BFS,116.199997,2.663,220,0.713
BFS,115.5,2.64,221,0.725
BFS,115.599998,2.652,222,0.723
BFS,115.900002,2.664,222,0.719
BFS,115.699997,2.651,222,0.724
BFS,116.099998,2.664,222,0.719
BFS,115.300003,2.664,222,0.724
BFS,115.400002,2.666,223,0.724
BFS,116,2.671,223,0.72
BFS,116,2.669,223,0.72
BFS,116.199997,2.666,222,0.718
BFS,117.199997,2.684,222,0.708
BFS,116.699997,2.659,221,0.712
BFS,115.699997,2.668,222,0.719
BFS,115.900002,2.676,224,0.721
BFS,116.199997,2.682,223,0.716
BFS,116.199997,2.688,222,0.712
BFS,116.5,2.682,222,0.71
BFS,117,2.671,223,0.713
BFS,117.199997,2.675,223,0.712
BFS,117.599998,2.7,223,0.703
BFS,118,2.681,223,0.706
BFS,117.199997,2.667,223,0.714
BFS,116.199997,2.658,223,0.722
BFS,116.5,2.687,222,0.708
BFS,117.099998,2.69,221,0.703
BFS,117.199997,2.664,222,0.713
BFS,116.800003,2.645,222,0.721
BFS,116.300003,2.652,224,0.726
BFS,117.099998,2.673,223,0.712
BFS,117.900002,2.683,222,0.701
BFS,116.699997,2.666,221,0.712
BFS,116.099998,2.647,221,0.721
BFS,116.300003,2.65,221,0.717
BFS,116.800003,2.666,220,0.708
BFS,117.599998,2.68,220,0.698
BFS,118.099998,2.694,220,0.693
BFS,118.099998,2.689,222,0.701
BFS,118.599998,2.689,223,0.7
BFS,118.199997,2.673,223,0.705
BFS,117.400002,2.656,222,0.712
BFS,116.900002,2.645,222,0.717
BFS,115.599998,2.656,223,0.726
BFS,116.5,2.685,223,0.714
BFS,117.199997,2.698,222,0.702
BFS,117.699997,2.681,222,0.703
BFS,118.099998,2.667,222,0.704
BFS,116.599998,2.635,221,0.72
BFS,116.300003,2.64,222,0.722
BFS,116.199997,2.654,221,0.718
BFS,116.800003,2.639,222,0.72
BFS,115.900002,2.631,221,0.725
BFS,115.5,2.652,221,0.722
